,Term
0,summari
1,in
2,commerce 
3,suppli
4,chain
5,manag
6, scm  
7,manag
8,flow
9,good
10,services 
11,involv
12,movement
13,storag
14,raw
15,materials 
16,work in process
17,inventory 
18,finish
19,good
20,point
21,origin
22,point
23,consumption 
24,interconnect
25,interlink
26,networks 
27,channel
28,node
29,busi
30,combin
31,provis
32,product
33,servic
34,requir
35,end
36,custom
37,suppli
38,chain 
39,supply chain
40,manag
41,defin
42, design 
43,planning 
44,execution 
45,control 
46,monitor
47,suppli
48,chain
49,activ
50,object
51,creat
52,net
53,value 
54,build
55,competit
56,infrastructure 
57,leverag
58,worldwid
59,logistics 
60,synchron
61,suppli
62,demand
63,measur
64,perform
65,globally  
66,scm
67,practic
68,draw
69,heavili
70,area
71,industri
72,engineering 
73,system
74,engineering 
75,oper
76,management 
77,logistics 
78,procurement 
79,inform
80,technology 
81,market
82,strive
83,integr
84,approach 
85,market
86,channel
87,play
88,import
89,role
90,suppli
91,chain
92,management 
93,current
94,research
95,suppli
96,chain
97,manag
98,concern
99,topic
100,relat
101,sustain
102,risk
103,management 
104,among
105,others 
106,some
107,suggest
108, peopl
109,dimension 
110,scm 
111,ethic
112,issues 
113,intern
114,integration 
115,transparency visibility 
116,human
117,capital tal
118,manag
119,topic
120,have 
121,far 
122,underrepres
123,research
124,agenda 
125,origin
126,term
127,definit
128,in
129,1982 
130,keith
131,oliver 
132,consult
133,booz
134,allen
135,hamilton
136, now
137,strategy  
138,introduc
139,term
140, suppli
141,chain
142,management 
143,public
144,domain
145,interview
146,financi
147,times in
148,mid 1990s 
149,decad
150,later 
151,term
152, suppli
153,chain
154,management 
155,gain
156,currenc
157,flurri
158,articl
159,book
160,came
161,subject 
162,suppli
163,chain
164,origin
165,defin
166,encompass
167,activ
168,associ
169,flow
170,transform
171,good
172,raw
173,materi
174,end
175,user 
176,well
177,associ
178,inform
179,flows 
180,suppli
181,chain
182,manag
183,defin
184,integr
185,suppli
186,chain
187,activ
188,improv
189,suppli
190,chain
191,relationship
192,achiev
193,competit
194,advantage in
195,late
196,1990s 
197, suppli
198,chain
199,management 
200, scm 
201,rose
202,prominence 
203,oper
204,manag
205,began
206,use
207,titl
208,increas
209,regularity oth
210,commonli
211,accept
212,definit
213,suppli
214,chain
215,manag
216,include 
217,the
218,manag
219,upstream
220,downstream
221,value ad
222,flow
223,materials 
224,final
225,goods 
226,relat
227,inform
228,among
229,suppliers 
230,company 
231,resellers 
232,final
233,consumers 
234,the
235,systematic 
236,strateg
237,coordin
238,tradit
239,busi
240,function
241,tactic
242,across
243,busi
244,function
245,within
246,particular
247,compani
248,across
249,busi
250,within
251,suppli
252,chain 
253,purpos
254,improv
255,long term
256,perform
257,individu
258,compani
259,suppli
260,chain
261,whole
262,a
263,customer focus
264,definit
265,given
266,hine
267, 2004 p76  
268, suppli
269,chain
270,strategi
271,requir
272,total
273,system
274,view
275,link
276,chain
277,work
278,togeth
279,effici
280,creat
281,custom
282,satisfact
283,end
284,point
285,deliveri
286,consumer 
287,as
288,consequence 
289,cost
290,must
291,lower
292,throughout
293,chain
294,drive
295,unnecessari
296,expenses 
297,movements 
298,handling 
299,the
300,main
301,focu
302,turn
303,effici
304,ad
305,value 
306,end user 
307,percept
308,value 
309,effici
310,must
311,increased 
312,bottleneck
313,removed 
314,the
315,measur
316,perform
317,focus
318,total
319,system
320,effici
321,equit
322,monetari
323,reward
324,distribut
325,within
326,suppli
327,chain 
328,the
329,suppli
330,chain
331,system
332,must
333,respons
334,custom
335,requirements  
336,the
337,integr
338,key
339,busi
340,process
341,across
342,suppli
343,chain
344,purpos
345,creat
346,valu
347,custom
348,stakehold
349, lambert 
350,2008 
351,accord
352,council
353,suppli
354,chain
355,manag
356,profession
357, cscmp  
358,suppli
359,chain
360,manag
361,encompass
362,plan
363,manag
364,activ
365,involv
366,sourcing 
367,procurement 
368,conversion 
369,logist
370,management 
371,it
372,also
373,includ
374,coordin
375,collabor
376,channel
377,partners 
378,may
379,suppliers 
380,intermediaries 
381,third parti
382,servic
383,providers 
384,customers 
385,suppli
386,chain
387,manag
388,integr
389,suppli
390,demand
391,manag
392,within
393,across
394,companies 
