,Term
0,summari
1,configur
2,manag
3, cm 
4,system
5,engin
6,process
7,establish
8,maintain
9,consist
10,product 
11,performance 
12,functional 
13,physic
14,attribut
15,requirements 
16,design 
17,oper
18,inform
19,throughout
20,life 
21,the
22,cm
23,process
24,wide
25,use
26,militari
27,engin
28,organ
29,manag
30,chang
31,throughout
32,system
33,lifecycl
34,complex
35,systems 
36,weapon
37,systems 
38,militari
39,vehicles 
40,inform
41,systems 
42,outsid
43,military 
44,cm
45,process
46,also
47,use
48,it
49,servic
50,manag
51,defin
52,itil 
53,domain
54,model
55,civil
56,engin
57,industri
58,engin
59,segment
60,roads 
61,bridges 
62,canals 
63,dams 
64,buildings 
65,introduct
66,cm
67,appli
68,life
69,cycl
70,system
71,provid
72,visibl
73,control
74,performance 
75,functional 
76,physic
77,attributes 
78,cm
79,verifi
80,system
81,perform
82,intended 
83,identifi
84,document
85,suffici
86,detail
87,support
88,project
89,life
90,cycle 
91,the
92,cm
93,process
94,facilit
95,orderli
96,manag
97,system
98,inform
99,system
100,chang
101,benefici
102,purpos
103,revis
104,capability 
105,improv
106,performance 
107,reliability 
108,maintainability 
109,extend
110,life 
111,reduc
112,cost 
113,reduc
114,risk
115,liability 
116,correct
117,defects 
118,the
119,rel
120,minim
121,cost
122,implement
123,cm
124,return
125,mani
126,fold
127,cost
128,avoidance 
129,the
130,lack
131,cm 
132,ineffectu
133,implementation 
134,expens
135,sometim
136,catastroph
137,consequ
138,failur
139,equip
140,loss
141,life 
142,cm
143,emphas
144,function
145,relat
146,parts 
147,subsystems 
148,system
149,effect
150,control
151,system
152,change 
153,it
154,help
155,verifi
156,propos
157,chang
158,systemat
159,consid
160,minim
161,advers
162,effects 
163,chang
164,system
165,proposed 
166,evaluated 
167,implement
168,use
169,standardized 
170,systemat
171,approach
172,ensur
173,consistency 
174,propos
175,chang
176,evalu
177,term
178,anticip
179,impact
180,entir
181,system 
182,cm
183,verifi
184,chang
185,carri
186,prescrib
187,document
188,item
189,system
190,reflect
191,true
192,configuration 
193,a
194,complet
195,cm
196,program
197,includ
198,provis
199,storing 
200,tracking 
201,updat
202,system
203,inform
204,component 
205,subsystem 
206,system
207,basis a
208,structur
209,cm
210,program
211,ensur
212,document
213, e g  
214,requirements 
215,design 
216,test 
217,accept
218,documentation 
219,item
220,accur
221,consist
222,actual
223,physic
224,design
225,item 
226,in
227,mani
228,cases 
229,without
230,cm 
231,document
232,exist
233,consist
234,item
235,itself 
236,for
237,reason 
238,engineers 
239,contractors 
240,manag
241,frequent
242,forc
243,develop
244,document
245,reflect
246,actual
247,statu
248,item
249,proceed
250,change 
251,thi
252,revers
253,engin
254,process
255,wast
256,term
257,human
258,resourc
259,minim
260,elimin
261,use
262,cm 
263,histori
264,configur
265,manag
266,origin
267,unit
268,state
269,depart
270,defens
271,1950
272,technic
273,manag
274,disciplin
275,hardwar
276,materi
277,items and
278,standard
279,practic
280,virtual
281,everi
282,industry 
283,the
284,cm
285,process
286,becam
287,technic
288,disciplin
289,sometim
290,late
291,1960
292,dod
293,develop
294,seri
295,militari
296,standard
297,call
298, 480
299,series 
300, i e  
301,mil std 480 
302,mil std 481
303,mil std 483 
304,subsequ
305,issu
306,1970s 
307,in
308,1991 
309, 480
310,series 
311,consolid
312,singl
313,standard
314,known
315,mil std 973
316,replac
317,mil hdbk 61
318,pursuant
319,gener
320,dod
321,goal
322,reduc
323,number
324,militari
325,standard
326,favor
327,industri
328,technic
329,standard
330,support
331,standard
332,develop
333,organ
334, sdo  
335,thi
336,mark
337,begin
338,evolv
339,wide
340,distribut
341,accept
342,standard
343,cm 
344,ansi eia 649 1998 
345,now
346,wide
347,adopt
348,numer
349,organ
350,agencies 
351,cm
352,discipline 
353,concept
354,includ
355,system
356,engin
357, se  
358,integr
359,logist
360,support
361, ils  
362,capabl
363,matur
364,model
365,integr
366, cmmi  
367,iso
368,9000 
369,prince2
370,project
371,manag
372,method 
373,cobit 
374,inform
375,technolog
376,infrastructur
377,librari
378, itil  
379,product
380,lifecycl
381,management 
382,applic
383,lifecycl
384,management 
385,mani
386,function
387,model
388,redefin
389,cm
390,tradit
391,holist
392,approach
393,technic
394,management 
395,some
396,treat
397,cm
398,similar
399,librarian
400,activity 
401,break
402,chang
403,control
404,chang
405,manag
406,separ
407,stand
408,alon
409,discipline 
410,overview
411,cm
412,practic
413,handl
414,chang
415,systemat
416,system
417,maintain
418,integr
419,time 
420,cm
421,implement
422,policies 
423,procedures 
424,techniques 
425,tool
426,manage 
427,evalu
428,propos
429,changes 
430,track
431,statu
432,changes 
433,maintain
434,inventori
435,system
436,support
437,document
438,system
439,changes 
440,cm
441,program
442,plan
443,provid
444,technic
445,administr
446,direct
447,develop
448,implement
449,procedures 
450,functions 
451,services 
452,tools 
453,processes 
454,resourc
455,requir
456,success
457,develop
458,support
459,complex
460,system 
461,dure
462,system
463,development 
464,cm
465,allow
466,program
467,manag
468,track
469,requir
470,throughout
471,life cycl
472,accept
473,oper
474,maintenance 
475,as
476,chang
477,inevit
478,occur
479,requir
480,design 
481,must
482,approv
483,documented 
484,creat
485,accur
486,record
487,system
488,status 
489,ideal
490,cm
491,process
492,appli
493,throughout
494,system
495,lifecycle 
496,most
497,profession
498,mix
499,get
500,confus
501,asset
502,manag
503, am  
504,inventori
505,asset
506,hand 
507,the
508,key
509,differ
510,cm
511,am
512,former
513,manag
514,financi
515,account
516,aspect
517,servic
518,system
519,supports 
520,the
521,cm
522,process
523,hardware 
524,software configur
525,item
526,compris
527,five
528,distinct
529,disciplin
530,establish
531,mil hdbk 61a
532,ansi eia 649 
533,these
534,disciplin
535,carri
536,polici
537,procedur
538,establish
539,baselin
540,perform
541,standard
542,change manag
543,process 
544,the
545,ieee
546,12207
547,process
548,ieee
549,12207 2
550,also
551,activ
552,add
553, releas
554,manag
555,delivery  
556,the
557,five
558,disciplin
559,are 
560,cm
561,plan
562,management 
563,formal
564,document
565,plan
566,guid
567,cm
568,program
569,includ
570,item
571,as 
572,personnel
573,respons
574,resourc
575,train
576,requir
577,administr
578,meet
579,guidelines 
580,includ
581,definit
582,procedur
583,tool
584,baselin
585,process
586,configur
587,control
588,configuration statu
589,account
590,name
591,convent
592,audit
593,review
594,subcontractor vendor
595,cm
596,requir
597,configur
598,identif
599, ci  
600,consist
601,set
602,maintain
603,baselines 
604,defin
605,system
606,subsystem
607,architecture 
608,components 
609,develop
610,point
611,time 
612,it
613,basi
614,chang
615,part
616,system
617,identified 
618,documented 
619,later
620,track
621,design 
622,development 
623,testing 
624,final
625,delivery 
626,ci
627,increment
628,establish
629,maintain
630,definit
631,current
632,basi
633,configur
634,statu
635,account
636, csa 
637,system
638,configur
639,item
640, cis 
641,throughout
642,lifecycl
643, development 
644,production 
645,deployment 
646,oper
647,support 
648,disposal 
649,configur
650,control 
651,includ
652,evalu
653,change request
654,change proposals 
655,subsequ
656,approv
657,disapproval 
658,it
659,cover
660,process
661,control
662,modif
663,system 
664,design 
665,hardware 
666,firmware 
667,software 
668,documentation 
669,configur
670,statu
671,accounting 
672,includ
673,process
674,record
675,report
676,configur
677,item
678,descript
679, e g  
680,hardware 
681,software 
682,firmware 
683,etc  
684,departur
685,baselin
686,design
687,production 
688,in
689,event
690,suspect
691,problems 
692,verif
693,baselin
694,configur
695,approv
696,modif
697,quickli
698,determined 
699,configur
700,verif
701,audit 
702,independ
703,review
704,hardwar
705,softwar
706,purpos
707,assess
708,complianc
709,establish
710,perform
711,requirements 
712,commerci
713,appropri
714,militari
715,standards 
716,functional 
717,allocated 
718,product
719,baselines 
720,configur
721,audit
722,verifi
723,system
724,subsystem
725,configur
726,document
727,compli
728,function
729,physic
730,perform
731,characterist
732,accept
733,architectur
734,baseline 
735,softwar
736,the
737,tradit
738,softwar
739,configur
740,manag
